ES_PRECLUSIÓN,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,AÑO_HECHOS,AÑO_ENTRADA,AÑO_DENUNCIA,DELITO,TOTAL_PROCESOS,shape_leng,shape_area,dpto_narea
NO,Norte de Santander,CÚCUTA,2021,2021,2021,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",5,10.7038112357,1.79232544093,21856.7542768
NO,Cesar,AGUACHICA,2021,2021,2021,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,2,12.5722523685,1.85820475345,22565.3114034
NO,Huila,LA PLATA,2022,2022,2022,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,11,19.3941026673,4.50890774976,18141.6605485
NO,Meta,PUERTO GAITÁN,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,4,18.1945932784,6.73617147417,82830.3839042
NO,Córdoba,LORICA,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,4,9.71124758822,2.05751146679,25086.2825214
NO,Cundinamarca,PACHO,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,13.1242523552,1.82362856343,22370.4571891
NO,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2023,2024,2024,"SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",4,3.76537101301,0.13220788538,1622.8529796
NO,Córdoba,SAN PELAYO,2022,2022,2022,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,1,9.71124758822,2.05751146679,25086.2825214
NO,Antioquia,MEDELLÍN,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,1,21.4927974328,5.13510342668,62807.0043767
NO,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2021,2021,2021,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",3,3.76537101301,0.13220788538,1622.8529796
NO,Córdoba,MONTERÍA,2021,2024,2024,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,2,9.71124758822,2.05751146679,25086.2825214
NO,Meta,GRANADA,2021,2021,2021,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,5,18.1945932784,6.73617147417,82830.3839042
